"year","quarter","flow","rain","temp","rain.1","rain.2","rain.3","rain.4","rain.5","rain.6","rain.7","rain.8","temp.1","temp.2","temp.3","temp.4"
"1986","4"," 41.0000000"," 1.78","55.74457",,,,,,,,,,,,
"1987","1"," 41.0000000","13.23","51.96111"," 1.78",,,,,,,,"55.74457",,,
"1987","2"," 41.0000000"," 0.84","60.48352","13.23"," 1.78",,,,,,,"51.96111","55.74457",,
"1987","3"," 41.0000000"," 0.00","63.89674"," 0.84","13.23"," 1.78",,,,,,"60.48352","51.96111","55.74457",
"1987","4"," 41.0000000","11.15","55.97826"," 0.00"," 0.84","13.23"," 1.78",,,,,"63.89674","60.48352","51.96111","55.74457"
"1988","1"," 41.0000000"," 5.23","54.05495","11.15"," 0.00"," 0.84","13.23"," 1.78",,,,"55.97826","63.89674","60.48352","51.96111"
"1988","2"," 41.0000000"," 2.35","59.81868"," 5.23","11.15"," 0.00"," 0.84","13.23"," 1.78",,,"54.05495","55.97826","63.89674","60.48352"
"1988","3"," 41.0000000"," 0.00","64.08152"," 2.35"," 5.23","11.15"," 0.00"," 0.84","13.23"," 1.78",,"59.81868","54.05495","55.97826","63.89674"
"1988","4"," 12.7197826","12.48","54.50000"," 0.00"," 2.35"," 5.23","11.15"," 0.00"," 0.84","13.23"," 1.78","64.08152","59.81868","54.05495","55.97826"
"1989","1"," 52.0588889"," 9.88","50.97778","12.48"," 0.00"," 2.35"," 5.23","11.15"," 0.00"," 0.84","13.23","54.50000","64.08152","59.81868","54.05495"
"1989","2","  6.7945055"," 0.84","60.41209"," 9.88","12.48"," 0.00"," 2.35"," 5.23","11.15"," 0.00"," 0.84","50.97778","54.50000","64.08152","59.81868"
"1989","3","  0.7206522"," 0.94","62.42935"," 0.84"," 9.88","12.48"," 0.00"," 2.35"," 5.23","11.15"," 0.00","60.41209","50.97778","54.50000","64.08152"
"1989","4"," 11.1878261"," 3.36","55.63043"," 0.94"," 0.84"," 9.88","12.48"," 0.00"," 2.35"," 5.23","11.15","62.42935","60.41209","50.97778","54.50000"
"1990","1"," 21.5966667"," 8.62","50.98333"," 3.36"," 0.94"," 0.84"," 9.88","12.48"," 0.00"," 2.35"," 5.23","55.63043","62.42935","60.41209","50.97778"
"1990","2","  9.3912088"," 4.57","60.21429"," 8.62"," 3.36"," 0.94"," 0.84"," 9.88","12.48"," 0.00"," 2.35","50.98333","55.63043","62.42935","60.41209"
"1990","3","  1.2072826"," 0.21","64.77174"," 4.57"," 8.62"," 3.36"," 0.94"," 0.84"," 9.88","12.48"," 0.00","60.21429","50.98333","55.63043","62.42935"
"1990","4","  1.6928261"," 2.79","53.66304"," 0.21"," 4.57"," 8.62"," 3.36"," 0.94"," 0.84"," 9.88","12.48","64.77174","60.21429","50.98333","55.63043"
"1991","1"," 42.3233333","16.33","51.36667"," 2.79"," 0.21"," 4.57"," 8.62"," 3.36"," 0.94"," 0.84"," 9.88","53.66304","64.77174","60.21429","50.98333"
"1991","2","  8.4890110"," 1.12","57.15385","16.33"," 2.79"," 0.21"," 4.57"," 8.62"," 3.36"," 0.94"," 0.84","51.36667","53.66304","64.77174","60.21429"
"1991","3","  1.1390217"," 0.12","63.60870"," 1.12","16.33"," 2.79"," 0.21"," 4.57"," 8.62"," 3.36"," 0.94","57.15385","51.36667","53.66304","64.77174"
"1991","4","  4.0145652"," 8.02","55.95652"," 0.12"," 1.12","16.33"," 2.79"," 0.21"," 4.57"," 8.62"," 3.36","63.60870","57.15385","51.36667","53.66304"
"1992","1"," 64.7846154","18.64","54.07692"," 8.02"," 0.12"," 1.12","16.33"," 2.79"," 0.21"," 4.57"," 8.62","55.95652","63.60870","57.15385","51.36667"
"1992","2","  7.6329670"," 0.83","61.93956","18.64"," 8.02"," 0.12"," 1.12","16.33"," 2.79"," 0.21"," 4.57","54.07692","55.95652","63.60870","57.15385"
"1992","3","  0.5918478"," 0.02","65.27174"," 0.83","18.64"," 8.02"," 0.12"," 1.12","16.33"," 2.79"," 0.21","61.93956","54.07692","55.95652","63.60870"
"1992","4"," 12.4746739"," 8.51","56.04891"," 0.02"," 0.83","18.64"," 8.02"," 0.12"," 1.12","16.33"," 2.79","65.27174","61.93956","54.07692","55.95652"
"1993","1","190.1222222","25.31","52.41667"," 8.51"," 0.02"," 0.83","18.64"," 8.02"," 0.12"," 1.12","16.33","56.04891","65.27174","61.93956","54.07692"
"1993","2"," 16.5879121"," 2.87","60.75824","25.31"," 8.51"," 0.02"," 0.83","18.64"," 8.02"," 0.12"," 1.12","52.41667","56.04891","65.27174","61.93956"
"1993","3","  2.8304348"," 0.00","63.47283"," 2.87","25.31"," 8.51"," 0.02"," 0.83","18.64"," 8.02"," 0.12","60.75824","52.41667","56.04891","65.27174"
"1993","4","  7.1641304"," 7.34","55.80435"," 0.00"," 2.87","25.31"," 8.51"," 0.02"," 0.83","18.64"," 8.02","63.47283","60.75824","52.41667","56.04891"
"1994","1"," 25.0366667","11.51","53.08333"," 7.34"," 0.00"," 2.87","25.31"," 8.51"," 0.02"," 0.83","18.64","55.80435","63.47283","60.75824","52.41667"
"1994","2","  5.8890110"," 3.80","59.12637","11.51"," 7.34"," 0.00"," 2.87","25.31"," 8.51"," 0.02"," 0.83","53.08333","55.80435","63.47283","60.75824"
"1994","3","  0.5303261"," 0.06","62.42935"," 3.80","11.51"," 7.34"," 0.00"," 2.87","25.31"," 8.51"," 0.02","59.12637","53.08333","55.80435","63.47283"
"1994","4","  8.5050000"," 8.48","52.90761"," 0.06"," 3.80","11.51"," 7.34"," 0.00"," 2.87","25.31"," 8.51","62.42935","59.12637","53.08333","55.80435"
"1995","1","250.3666667","26.52","54.35000"," 8.48"," 0.06"," 3.80","11.51"," 7.34"," 0.00"," 2.87","25.31","52.90761","62.42935","59.12637","53.08333"
"1995","2"," 48.1428571"," 8.01","58.35714","26.52"," 8.48"," 0.06"," 3.80","11.51"," 7.34"," 0.00"," 2.87","54.35000","52.90761","62.42935","59.12637"
"1995","3","  7.3217391"," 0.00","64.78261"," 8.01","26.52"," 8.48"," 0.06"," 3.80","11.51"," 7.34"," 0.00","58.35714","54.35000","52.90761","62.42935"
"1995","4"," 10.0608696"," 6.73","57.86413"," 0.00"," 8.01","26.52"," 8.48"," 0.06"," 3.80","11.51"," 7.34","64.78261","58.35714","54.35000","52.90761"
"1996","1","183.3208791","20.75","54.41209"," 6.73"," 0.00"," 8.01","26.52"," 8.48"," 0.06"," 3.80","11.51","57.86413","64.78261","58.35714","54.35000"
"1996","2"," 36.4175824"," 4.01","60.44505","20.75"," 6.73"," 0.00"," 8.01","26.52"," 8.48"," 0.06"," 3.80","54.41209","57.86413","64.78261","58.35714"
"1996","3","  6.3184783"," 0.00","63.08152"," 4.01","20.75"," 6.73"," 0.00"," 8.01","26.52"," 8.48"," 0.06","60.44505","54.41209","57.86413","64.78261"
"1996","4"," 98.9989130","23.51","55.98913"," 0.00"," 4.01","20.75"," 6.73"," 0.00"," 8.01","26.52"," 8.48","63.08152","60.44505","54.41209","57.86413"
"1997","1","183.4444444","11.67","53.41111","23.51"," 0.00"," 4.01","20.75"," 6.73"," 0.00"," 8.01","26.52","55.98913","63.08152","60.44505","54.41209"
"1997","2"," 13.0230769"," 0.96","61.37912","11.67","23.51"," 0.00"," 4.01","20.75"," 6.73"," 0.00"," 8.01","53.41111","55.98913","63.08152","60.44505"
"1997","3","  3.8043478"," 0.46","65.66848"," 0.96","11.67","23.51"," 0.00"," 4.01","20.75"," 6.73"," 0.00","61.37912","53.41111","55.98913","63.08152"
"1997","4"," 14.9358696","13.73","56.64674"," 0.46"," 0.96","11.67","23.51"," 0.00"," 4.01","20.75"," 6.73","65.66848","61.37912","53.41111","55.98913"
"1998","1","268.9555556","38.89","53.06667","13.73"," 0.46"," 0.96","11.67","23.51"," 0.00"," 4.01","20.75","56.64674","65.66848","61.37912","53.41111"
"1998","2"," 58.9670330"," 7.12","57.87912","38.89","13.73"," 0.46"," 0.96","11.67","23.51"," 0.00"," 4.01","53.06667","56.64674","65.66848","61.37912"
"1998","3"," 12.6630435"," 0.08","63.84239"," 7.12","38.89","13.73"," 0.46"," 0.96","11.67","23.51"," 0.00","57.87912","53.06667","56.64674","65.66848"
"1998","4"," 15.6771739"," 7.92","52.83152"," 0.08"," 7.12","38.89","13.73"," 0.46"," 0.96","11.67","23.51","63.84239","57.87912","53.06667","56.64674"
"1999","1","133.4222222","22.18","50.21111"," 7.92"," 0.08"," 7.12","38.89","13.73"," 0.46"," 0.96","11.67","52.83152","63.84239","57.87912","53.06667"
"1999","2"," 34.9120879"," 3.35","56.25275","22.18"," 7.92"," 0.08"," 7.12","38.89","13.73"," 0.46"," 0.96","50.21111","52.83152","63.84239","57.87912"
"1999","3","  6.8163043"," 0.20","62.36957"," 3.35","22.18"," 7.92"," 0.08"," 7.12","38.89","13.73"," 0.46","56.25275","50.21111","52.83152","63.84239"
"1999","4","  5.9760870"," 4.47","55.47283"," 0.20"," 3.35","22.18"," 7.92"," 0.08"," 7.12","38.89","13.73","62.36957","56.25275","50.21111","52.83152"
"2000","1","193.6472527","28.33","52.69780"," 4.47"," 0.20"," 3.35","22.18"," 7.92"," 0.08"," 7.12","38.89","55.47283","62.36957","56.25275","50.21111"
