"","month","year","coredata.monthly."
"1","10","1988",0.647741935483871
"2","11","1988",9.89133333333333
"3","12","1988",27.5290322580645
"4","01","1989",12.7806451612903
"5","02","1989",7.71428571428571
"6","03","1989",131.390322580645
"7","04","1989",13.0166666666667
"8","05","1989",5.44193548387097
"9","06","1989",1.97
"10","07","1989",0.478387096774194
"11","08","1989",0.403548387096774
"12","09","1989",1.29866666666667
"13","10","1989",8.48
"14","11","1989",15.59
"15","12","1989",9.63548387096774
"16","01","1990",18.241935483871
"17","02","1990",34.2428571428571
"18","03","1990",13.5290322580645
"19","04","1990",6.17333333333333
"20","05","1990",16.258064516129
"21","06","1990",5.51333333333333
"22","07","1990",1.91612903225806
"23","08","1990",0.753870967741936
"24","09","1990",0.943333333333333
"25","10","1990",0.965806451612903
"26","11","1990",1.36
"27","12","1990",2.74193548387097
"28","01","1991",2.5741935483871
"29","02","1991",6.3
"30","03","1991",114.609677419355
"31","04","1991",16.63
"32","05","1991",5.72258064516129
"33","06","1991",3.20666666666667
"34","07","1991",1.84516129032258
"35","08","1991",1.06870967741935
"36","09","1991",0.482
"37","10","1991",2.04967741935484
"38","11","1991",1.89
"39","12","1991",8.03548387096774
"40","01","1992",10.3935483870968
"41","02","1992",150.31724137931
"42","03","1992",39.1612903225806
"43","04","1992",14.03
"44","05","1992",6.22903225806452
"45","06","1992",2.68666666666667
"46","07","1992",1.48354838709677
"47","08","1992",0.169032258064516
"48","09","1992",0.107333333333333
"49","10","1992",1.57645161290323
"50","11","1992",2.21333333333333
"51","12","1992",33.3032258064516
"52","01","1993",337.741935483871
"53","02","1993",164.392857142857
"54","03","1993",65.741935483871
"55","04","1993",28.3333333333333
"56","05","1993",11.7451612903226
"57","06","1993",9.84666666666667
"58","07","1993",4.67096774193548
"59","08","1993",2.11935483870968
"60","09","1993",1.66333333333333
"61","10","1993",2.65161290322581
"62","11","1993",5.24
"63","12","1993",13.5387096774194
"64","01","1994",8.2
"65","02","1994",56.6357142857143
"66","03","1994",13.3322580645161
"67","04","1994",8.42666666666667
"68","05","1994",6.90322580645161
"69","06","1994",2.30333333333333
"70","07","1994",1.24290322580645
"71","08","1994",0.274838709677419
"72","09","1994",0.058
"73","10","1994",0.714838709677419
"74","11","1994",10.91
"75","12","1994",13.9677419354839
"76","01","1995",381.645161290323
"77","02","1995",59.0714285714286
"78","03","1995",291.870967741935
"79","04","1995",61.9666666666667
"80","05","1995",62.2258064516129
"81","06","1995",19.7666666666667
"82","07","1995",10.9322580645161
"83","08","1995",5.91290322580645
"84","09","1995",5.04666666666667
"85","10","1995",3.2
"86","11","1995",3.57
"87","12","1995",23.2032258064516
"88","01","1996",104.61935483871
"89","02","1996",288.51724137931
"90","03","1996",163.612903225806
"91","04","1996",43.3333333333333
"92","05","1996",46.4193548387097
"93","06","1996",19.1666666666667
"94","07","1996",9.78387096774193
"95","08","1996",5.45483870967742
"96","09","1996",3.63
"97","10","1996",5.60322580645161
"98","11","1996",23.5733333333333
"99","12","1996",265.387096774194
"100","01","1997",436.935483870968
"101","02","1997",71.8928571428571
"102","03","1997",30.7096774193548
"103","04","1997",19.2333333333333
"104","05","1997",11.4548387096774
"105","06","1997",8.43333333333333
"106","07","1997",5.33548387096774
"107","08","1997",3.68709677419355
"108","09","1997",2.34333333333333
"109","10","1997",3.49677419354839
"110","11","1997",17.14
"111","12","1997",24.241935483871
"112","01","1998",192.774193548387
"113","02","1998",515.25
"114","03","1998",122.677419354839
"115","04","1998",92.1
"116","05","1998",50.1612903225806
"117","06","1998",34.9333333333333
"118","07","1998",17.8387096774194
"119","08","1998",10.9032258064516
"120","09","1998",9.13333333333333
"121","10","1998",7.26129032258065
"122","11","1998",17.4733333333333
"123","12","1998",22.3548387096774
"124","01","1999",123.612903225806
"125","02","1999",203.107142857143
"126","03","1999",80.2903225806452
"127","04","1999",69.5666666666667
"128","05","1999",21.9032258064516
"129","06","1999",13.7
"130","07","1999",8.68709677419355
"131","08","1999",6.44516129032258
"132","09","1999",5.26666666666667
"133","10","1999",4.24516129032258
"134","11","1999",7.83666666666667
"135","12","1999",5.90645161290323
"136","01","2000",157.190322580645
"137","02","2000",313.068965517241
"138","03","2000",118.387096774194
"139","04","2000",36.3666666666667
"140","05","2000",21.0645161290323
"141","06","2000",12.0133333333333
"142","07","2000",8.03225806451613
"143","08","2000",4.89677419354839
"144","09","2000",5.89
"145","10","2000",9.59354838709677
"146","11","2000",7.56333333333333
"147","12","2000",7.48709677419355
"148","01","2001",29.4129032258065
"149","02","2001",97.5357142857143
"150","03","2001",76.0322580645161
"151","04","2001",30.7
"152","05","2001",12.741935483871
"153","06","2001",5.11333333333333
"154","07","2001",3.63870967741935
"155","08","2001",2.43548387096774
"156","09","2001",2.13666666666667
"157","10","2001",2.51129032258065
"158","11","2001",13.0836666666667
"159","12","2001",81.8741935483871
"160","01","2002",74.241935483871
"161","02","2002",30.3785714285714
"162","03","2002",39.5741935483871
"163","04","2002",18.52
"164","05","2002",12.8229032258065
"165","06","2002",7.19733333333333
"166","07","2002",3.79774193548387
"167","08","2002",2.94096774193548
"168","09","2002",2.15966666666667
"169","10","2002",2.38806451612903
"170","11","2002",13.5323333333333
"171","12","2002",191.206451612903
"172","01","2003",68.0225806451613
"173","02","2003",24.3321428571429
"174","03","2003",26.5709677419355
"175","04","2003",37.1166666666667
"176","05","2003",35.6903225806452
"177","06","2003",12.764
"178","07","2003",5.6558064516129
"179","08","2003",3.08709677419355
"180","09","2003",1.85933333333333
"181","10","2003",1.62161290322581
"182","11","2003",6.95633333333333
"183","12","2003",92.7783870967742
"184","01","2004",77.5064516129032
"185","02","2004",126.775862068966
"186","03","2004",46.6612903225806
"187","04","2004",17.8066666666667
"188","05","2004",7.62677419354839
"189","06","2004",4.145
"190","07","2004",2.99451612903226
"191","08","2004",2.13548387096774
"192","09","2004",1.106
"193","10","2004",7.15322580645161
"194","11","2004",8.955
"195","12","2004",104.33
"196","01","2005",126.261290322581
"197","02","2005",95.7357142857143
"198","03","2005",150.958064516129
"199","04","2005",58.4833333333333
"200","05","2005",34.0903225806452
"201","06","2005",17.2033333333333
"202","07","2005",10.0167741935484
"203","08","2005",6.11032258064516
"204","09","2005",4.635
"205","10","2005",3.49451612903226
"206","11","2005",5.41533333333333
"207","12","2005",180.084193548387
"208","01","2006",148.316129032258
"209","02","2006",46.5
"210","03","2006",234.322580645161
"211","04","2006",273.793333333333
"212","05","2006",45.5903225806452
"213","06","2006",21.7533333333333
"214","07","2006",12.4790322580645
"215","08","2006",8.13709677419355
"216","09","2006",6.42933333333333
"217","10","2006",5.41387096774194
"218","11","2006",6.86766666666667
"219","12","2006",12.4896774193548
"220","01","2007",8.32967741935484
"221","02","2007",46.3728571428571
"222","03","2007",20.3548387096774
"223","04","2007",10.1373333333333
"224","05","2007",6.60483870967742
"225","06","2007",3.25833333333333
"226","07","2007",2.20322580645161
"227","08","2007",1.58838709677419
"228","09","2007",1.66833333333333
"229","10","2007",2.32064516129032
"230","11","2007",2.996
"231","12","2007",4.53354838709677
"232","01","2008",100.094516129032
"233","02","2008",84.5965517241379
"234","03","2008",21.2903225806452
"235","04","2008",8.98733333333333
"236","05","2008",4.92483870967742
"237","06","2008",2.64333333333333
"238","07","2008",1.69806451612903
"239","08","2008",1.04322580645161
"240","09","2008",0.993666666666667
"241","10","2008",2.11225806451613
"242","11","2008",7.089
"243","12","2008",8.66161290322581
"244","01","2009",7.46096774193548
"245","02","2009",147.874285714286
"246","03","2009",80.4806451612903
"247","04","2009",12.941
"248","05","2009",9.60322580645161
"249","06","2009",4.77333333333333
"250","07","2009",2.54354838709677
"251","08","2009",1.94645161290323
"252","09","2009",1.06066666666667
"253","10","2009",57.4438709677419
"254","11","2009",5.19866666666667
"255","12","2009",17.4429032258065
"256","01","2010",114.867741935484
"257","02","2010",107.378571428571
"258","03","2010",72.9451612903226
"259","04","2010",64.3366666666667
"260","05","2010",23.9161290322581
"261","06","2010",11.3293333333333
"262","07","2010",6.61
"263","08","2010",4.40161290322581
"264","09","2010",3.04366666666667
"265","10","2010",5.35709677419355
"266","11","2010",10.4133333333333
"267","12","2010",142.032580645161
"268","01","2011",54.0709677419355
"269","02","2011",140.421428571429
"270","03","2011",285.345161290323
"271","04","2011",65.8433333333333
"272","05","2011",30.958064516129
"273","06","2011",33.2
"274","07","2011",11.2374193548387
"275","08","2011",6.73096774193548
"276","09","2011",4.63466666666667
"277","10","2011",7.5141935483871
"278","11","2011",6.61166666666667
"279","12","2011",5.44096774193548
"280","01","2012",22.4270967741935
"281","02","2012",8.80379310344828
"282","03","2012",125.804516129032
"283","04","2012",56.4566666666667
"284","05","2012",16.2064516129032
"285","06","2012",8.106
"286","07","2012",4.36870967741936
"287","08","2012",2.33290322580645
"288","09","2012",1.878
"289","10","2012",2.71096774193548
"290","11","2012",20.6516666666667
"291","12","2012",196.038709677419
"292","01","2013",36.5258064516129
"293","02","2013",14.1785714285714
"294","03","2013",11.3935483870968
"295","04","2013",7.94933333333333
"296","05","2013",4.27354838709677
"297","06","2013",2.90133333333333
"298","07","2013",1.53225806451613
"299","08","2013",1.14774193548387
"300","09","2013",0.515666666666667
"301","10","2013",0.814193548387097
"302","11","2013",1.54633333333333
"303","12","2013",2.45612903225806
"304","01","2014",1.88064516129032
"305","02","2014",16.4882142857143
"306","03","2014",16.3174193548387
"307","04","2014",8.74566666666667
"308","05","2014",2.17064516129032
"309","06","2014",1.25533333333333
"310","07","2014",0.593870967741935
"311","08","2014",0.316774193548387
"312","09","2014",0.623333333333333
"313","10","2014",0.458064516129032
"314","11","2014",2.84733333333333
"315","12","2014",66.2477419354839
"316","01","2015",7.43032258064516
"317","02","2015",59.0107142857143
"318","03","2015",9.48967741935484
"319","04","2015",8.31733333333333
"320","05","2015",4.15838709677419
"321","06","2015",2.128
"322","07","2015",1.01387096774194
"323","08","2015",0.486774193548387
"324","09","2015",0.301
"325","10","2015",0.367741935483871
"326","11","2015",1.679
"327","12","2015",8.83483870967742
"328","01","2016",104.674516129032
"329","02","2016",19.1689655172414
"330","03","2016",253.416129032258
"331","04","2016",23.9733333333333
"332","05","2016",10.7432258064516
"333","06","2016",5.61633333333333
"334","07","2016",2.42258064516129
"335","08","2016",1.99935483870968
"336","09","2016",1.132
"337","10","2016",28.1958064516129
"338","11","2016",20.074
"339","12","2016",138.974193548387
"340","01","2017",665.077419354839
"341","02","2017",626.535714285714
"342","03","2017",161.058064516129
"343","04","2017",119.986666666667
"344","05","2017",41.2064516129032
"345","06","2017",21.2566666666667
"346","07","2017",12.2577419354839
"347","08","2017",8.33935483870968
"348","09","2017",6.33033333333333
"349","10","2017",5.23935483870968
"350","11","2017",12.6276666666667
"351","12","2017",5.07806451612903
"352","01","2018",24.427037037037
