"","month","year","coredata.morain.","coredata.motemp."
"1","10","1986",0.05,60.5645161290323
"2","11","1986",0.05,56.1666666666667
"3","12","1986",1.68,50.5161290322581
"4","01","1987",3.47,49.1935483870968
"5","02","1987",5.28,53.0178571428571
"6","03","1987",4.48,53.7741935483871
"7","04","1987",0.84,58.3333333333333
"8","05","1987",0,61.1612903225806
"9","06","1987",0,61.9333333333333
"10","07","1987",0,63.2903225806452
"11","08","1987",0,64.2903225806452
"12","09","1987",0,64.1166666666667
"13","10","1987",0.94,63.3870967741936
"14","11","1987",3.05,54.85
"15","12","1987",7.16,49.6612903225806
"16","01","1988",4.44,50.8225806451613
"17","02","1988",0.74,54.7931034482759
"18","03","1988",0.05,56.5967741935484
"19","04","1988",1.74,58.1833333333333
"20","05","1988",0.59,59.4516129032258
"21","06","1988",0.02,61.8333333333333
"22","07","1988",0,64.6451612903226
"23","08","1988",0,64.4354838709677
"24","09","1988",0,63.1333333333333
"25","10","1988",0.3,59.8064516129032
"26","11","1988",4.46,54.6666666666667
"27","12","1988",7.72,49.0322580645161
"28","01","1989",1.36,48.5322580645161
"29","02","1989",1.52,48.7857142857143
"30","03","1989",7,55.4032258064516
"31","04","1989",0.72,58.9666666666667
"32","05","1989",0.1,58.8387096774194
"33","06","1989",0.02,63.4833333333333
"34","07","1989",0,63.7258064516129
"35","08","1989",0.07,61.9677419354839
"36","09","1989",0.87,61.5666666666667
"37","10","1989",2.19,59.2258064516129
"38","11","1989",1.12,55.5
"39","12","1989",0.05,52.1612903225806
"40","01","1990",2.64,50.3225806451613
"41","02","1990",3.33,49.375
"42","03","1990",2.65,53.0967741935484
"43","04","1990",0.43,59.05
"44","05","1990",4.11,58.3387096774194
"45","06","1990",0.03,63.3166666666667
"46","07","1990",0,64.9516129032258
"47","08","1990",0,65.258064516129
"48","09","1990",0.21,64.0833333333333
"49","10","1990",0.67,60.9354838709677
"50","11","1990",0.47,54.5
"51","12","1990",1.65,45.5806451612903
"52","01","1991",0.81,49.6290322580645
"53","02","1991",4.92,54.8928571428571
"54","03","1991",10.6,49.9193548387097
"55","04","1991",0.8,54.8166666666667
"56","05","1991",0.06,57.0967741935484
"57","06","1991",0.26,59.55
"58","07","1991",0.02,62.5967741935484
"59","08","1991",0.04,65.4838709677419
"60","09","1991",0.06,62.7166666666667
"61","10","1991",2.26,61.241935483871
"62","11","1991",1.51,55.9333333333333
"63","12","1991",4.25,50.6935483870968
"64","01","1992",3.19,50.5806451612903
"65","02","1992",11.1,55.5172413793103
"66","03","1992",4.35,56.2258064516129
"67","04","1992",0.28,61.1
"68","05","1992",0,61.8548387096774
"69","06","1992",0.55,62.8666666666667
"70","07","1992",0,66.7096774193548
"71","08","1992",0.02,65.258064516129
"72","09","1992",0,63.8
"73","10","1992",1.18,62.7903225806452
"74","11","1992",0.23,55.9666666666667
"75","12","1992",7.1,49.3870967741936
"76","01","1993",13.85,49.0161290322581
"77","02","1993",8.02,51
"78","03","1993",3.44,57.0967741935484
"79","04","1993",1.37,57.45
"80","05","1993",0.94,60.8387096774194
"81","06","1993",0.56,63.9833333333333
"82","07","1993",0,62.7741935483871
"83","08","1993",0,64.9838709677419
"84","09","1993",0,62.6333333333333
"85","10","1993",0.61,62
"86","11","1993",2.73,54.5166666666667
"87","12","1993",4,50.8548387096774
"88","01","1994",2.59,52.4516129032258
"89","02","1994",8.18,50.2678571428571
"90","03","1994",0.74,56.258064516129
"91","04","1994",1.82,56.7166666666667
"92","05","1994",1.98,58.6774193548387
"93","06","1994",0,62
"94","07","1994",0,60.8225806451613
"95","08","1994",0,63.0806451612903
"96","09","1994",0.06,63.4166666666667
"97","10","1994",0.36,59.8225806451613
"98","11","1994",4.88,49.5833333333333
"99","12","1994",3.24,49.2096774193548
"100","01","1995",17.56,53
"101","02","1995",0.47,56.125
"102","03","1995",8.49,54.0967741935484
"103","04","1995",5.13,55.8666666666667
"104","05","1995",1.34,57.3870967741936
"105","06","1995",1.54,61.85
"106","07","1995",0,65.8548387096774
"107","08","1995",0,64.2903225806452
"108","09","1995",0,64.1833333333333
"109","10","1995",0,61.6774193548387
"110","11","1995",0.19,58.4166666666667
"111","12","1995",6.54,53.5161290322581
"112","01","1996",8.4,52.7258064516129
"113","02","1996",9.2,55.0344827586207
"114","03","1996",3.15,55.5161290322581
"115","04","1996",1.58,58.9
