"","quarter","year","coredata.morain.","coredata.motemp."
"1",4,"1986",1.78,55.7445652173913
"2",1,"1987",13.23,51.9611111111111
"3",2,"1987",0.84,60.4835164835165
"4",3,"1987",0,63.8967391304348
"5",4,"1987",11.15,55.9782608695652
"6",1,"1988",5.23,54.0549450549451
"7",2,"1988",2.35,59.8186813186813
"8",3,"1988",0,64.0815217391304
"9",4,"1988",12.48,54.5
"10",1,"1989",9.88,50.9777777777778
"11",2,"1989",0.84,60.4120879120879
"12",3,"1989",0.94,62.429347826087
"13",4,"1989",3.36,55.6304347826087
"14",1,"1990",8.62,50.9833333333333
"15",2,"1990",4.57,60.2142857142857
"16",3,"1990",0.21,64.7717391304348
"17",4,"1990",2.79,53.6630434782609
"18",1,"1991",16.33,51.3666666666667
"19",2,"1991",1.12,57.1538461538462
"20",3,"1991",0.12,63.6086956521739
"21",4,"1991",8.02,55.9565217391304
"22",1,"1992",18.64,54.0769230769231
"23",2,"1992",0.83,61.9395604395604
"24",3,"1992",0.02,65.2717391304348
"25",4,"1992",8.51,56.0489130434783
"26",1,"1993",25.31,52.4166666666667
"27",2,"1993",2.87,60.7582417582418
"28",3,"1993",0,63.4728260869565
"29",4,"1993",7.34,55.804347826087
"30",1,"1994",11.51,53.0833333333333
"31",2,"1994",3.8,59.1263736263736
"32",3,"1994",0.06,62.429347826087
"33",4,"1994",8.48,52.9076086956522
"34",1,"1995",26.52,54.35
"35",2,"1995",8.01,58.3571428571429
"36",3,"1995",0,64.7826086956522
"37",4,"1995",6.73,57.8641304347826
"38",1,"1996",20.75,54.4120879120879
"39",2,"1996",4.01,60.4450549450549
"40",3,"1996",0,63.0815217391304
"41",4,"1996",23.51,55.9891304347826
"42",1,"1997",11.67,53.4111111111111
"43",2,"1997",0.96,61.3791208791209
"44",3,"1997",0.46,65.6684782608696
"45",4,"1997",13.73,56.6467391304348
"46",1,"1998",38.89,53.0666666666667
"47",2,"1998",7.12,57.8791208791209
"48",3,"1998",0.08,63.8423913043478
"49",4,"1998",7.92,52.8315217391304
"50",1,"1999",22.18,50.2111111111111
"51",2,"1999",3.35,56.2527472527473
"52",3,"1999",0.2,62.3695652173913
"53",4,"1999",4.47,55.4728260869565
"54",1,"2000",28.33,52.6978021978022
"55",2,"2000",3.06,60.1868131868132
"56",3,"2000",0.53,62.3423913043478
"57",4,"2000",7.16,53.9402173913044
"58",1,"2001",16.21,51.6444444444444
"59",2,"2001",1.86,58.9835164835165
"60",3,"2001",0.22,61.8641304347826
"61",4,"2001",18.05,55.0271739130435
"62",1,"2002",9.53,50.5333333333333
"63",2,"2002",1.16,57.9230769230769
"64",3,"2002",0.05,62.1358695652174
"65",4,"2002",19.48,55.4130434782609
"66",1,"2003",5.18,54.1277777777778
"67",2,"2003",4.47,58.2307692307692
"68",3,"2003",0.01,64.8423913043478
"69",4,"2003",13.62,55.5271739130435
"70",1,"2004",10.25,53.2802197802198
"71",2,"2004",0.53,60.010989010989
"72",3,"2004",0.08,64.1902173913043
"73",4,"2004",18.28,54.5434782608696
"74",1,"2005",19.89,53.7055555555556
"75",2,"2005",5.42,58.9505494505495
"76",3,"2005",0.04,62.7228260869565
"77",4,"2005",14.6,56.2608695652174
"78",1,"2006",20.12,50.9666666666667
"79",2,"2006",7.78,59.1648351648352
"80",3,"2006",0,63.0380434782609
"81",4,"2006",8.13,54.7282608695652
"82",1,"2007",6.99,51.5666666666667
"83",2,"2007",2.08,58.5824175824176
"84",3,"2007",0.39,63.7771739130435
"85",4,"2007",5.77,54.1847826086956
"86",1,"2008",18.77,50.7747252747253
"87",2,"2008",0.48,58.7362637362637
"88",3,"2008",0.02,63.9347826086956
"89",4,"2008",5.74,55.8641304347826
"90",1,"2009",14.21,52.5888888888889
"91",2,"2009",2.09,59.1703296703297
"92",3,"2009",0.38,65.1684782608696
"93",4,"2009",8.33,54.554347826087
"94",1,"2010",17.14,52.8833333333333
"95",2,"2010",5.23,58.2747252747253
"96",3,"2010",0.06,63.1630434782609
"97",4,"2010",16.61,54.7065217391304
"98",1,"2011",18.79,52.0111111111111
"99",2,"2011",4.54,58.1648351648352
"100",3,"2011",0.12,63.0326086956522
"101",4,"2011",5.3,54.4076086956522
"102",1,"2012",12,52.3131868131868
"103",2,"2012",3.35,59.5494505494505
"104",3,"2012",0.05,63.6358695652174
"105",4,"2012",14.04,56.2336956521739
"106",1,"2013",2.66,52.4055555555556
"107",2,"2013",1.11,62.6758241758242
"108",3,"2013",0.22,66.5326086956522
"109",4,"2013",1.08,55.3097826086956
"110",1,"2014",11,56.4277777777778
"111",2,"2014",1.27,62.6593406593407
"112",3,"2014",1.05,67.5163043478261
"113",4,"2014",16.16,58.7445652173913
"114",1,"2015",3.36,58.1055555555556
"115",2,"2015",2.09,62.0054945054945
"116",3,"2015",0.09,69.7663043478261
"117",4,"2015",10.93,56.4076086956522
"118",1,"2016",20.48,56.0054945054945
"119",2,"2016",1.14,61.7142857142857
"120",3,"2016",0.08,64.3478260869565
"121",4,"2016",15.56,56.945652173913
"122",1,"2017",33.16,53.3214285714286
"123",3,"2017",0.1,66.8731343283582
"124",4,"2017",3,58.2771739130435
"125",1,"2018",5.29,54.8709677419355
