Date,Precip,Tmax,Tmin
1986-10-01,0,74,47
1986-10-02,0,77,47
1986-10-03,0,79,46
1986-10-04,0,81,46
1986-10-05,0,84,48
1986-10-06,0,86,46
1986-10-07,0,85,48
1986-10-08,0,76,48
1986-10-09,0,69,52
1986-10-10,0,60,52
1986-10-11,0,63,54
1986-10-12,0,63,55
1986-10-13,0,77,49
1986-10-14,0,83,43
1986-10-15,0,69,44
1986-10-16,0,65,53
1986-10-17,0,71,49
1986-10-18,0,72,45
1986-10-19,0,59,41
1986-10-20,0,64,51
1986-10-21,0,77,49
1986-10-22,0,65,51
1986-10-23,0,70,52
1986-10-24,0,73,54
1986-10-25,0,80,48
1986-10-26,0,76,51
1986-10-27,0,75,54
1986-10-28,0.03,61,48
1986-10-29,0,72,45
1986-10-30,0.02,69,47
1986-10-31,0,72,45
1986-11-01,0,77,41
1986-11-02,0,74,43
1986-11-03,0,75,40
1986-11-04,0,73,42
1986-11-05,0,74,39
1986-11-06,0,74,47
1986-11-07,0,68,44
1986-11-08,0,67,43
1986-11-09,0,66,37
1986-11-10,0,74,41
1986-11-11,0,81,43
1986-11-12,0,78,43
1986-11-13,0,69,41
1986-11-14,0,65,48
1986-11-15,0,69,43
1986-11-16,0,77,43
1986-11-17,0,68,51
1986-11-18,0,73,56
1986-11-19,0,71,51
1986-11-20,0,67,43
1986-11-21,0,66,44
1986-11-22,0,69,41
1986-11-23,0,68,45
1986-11-24,0,66,39
1986-11-25,0,64,45
1986-11-26,0,69,34
1986-11-27,0,69,37
1986-11-28,0,58,39
1986-11-29,0.05,62,38
1986-11-30,0,65,33
1986-12-01,0,70,34
1986-12-02,0,72,37
1986-12-03,0,67,37
1986-12-04,0,63,45
1986-12-05,0.54,58,51
1986-12-06,0,60,40
1986-12-07,0,61,39
1986-12-08,0,63,33
1986-12-09,0,63,34
1986-12-10,0,64,33
1986-12-11,0,59,34
1986-12-12,0,61,35
1986-12-13,0.02,62,43
1986-12-14,0.01,62,42
1986-12-15,0.23,53,42
1986-12-16,0.31,68,46
1986-12-17,0,65,39
1986-12-18,0.28,55,46
1986-12-19,0,58,39
1986-12-20,0.06,59,38
1986-12-21,0,64,36
1986-12-22,0.15,59,45
1986-12-23,0,58,40
1986-12-24,0,60,38
1986-12-25,0,59,38
1986-12-26,0,61,37
1986-12-27,0,59,37
1986-12-28,0,64,35
1986-12-29,0,65,41
1986-12-30,0,62,39
1986-12-31,0.08,59,46
1987-01-01,0.26,57,49
1987-01-02,0.11,62,43
1987-01-03,0.91,56,46
1987-01-04,0.16,55,41
1987-01-05,0,57,39
1987-01-06,0.32,52,39
1987-01-07,0,59,36
1987-01-08,0,56,31
1987-01-09,0,64,37
1987-01-10,0,64,32
1987-01-11,0,65,32
1987-01-12,0,57,32
1987-01-13,0,57,38
1987-01-14,0,61,39
1987-01-15,0,54,38
1987-01-16,0,53,36
1987-01-17,0,58,29
1987-01-18,0,59,30
1987-01-19,0,65,33
1987-01-20,0,65,40
1987-01-21,0,64,31
1987-01-22,0,59,35
1987-01-23,0.54,62,43
1987-01-24,0.37,54,44
1987-01-25,0.03,71,50
1987-01-26,0,62,43
1987-01-27,0,57,45
1987-01-28,0.4,57,43
1987-01-29,0,55,39
1987-01-30,0.37,58,46
1987-01-31,,,
1987-02-01,0,64,33
1987-02-02,0.64,58,47
1987-02-03,0.04,64,42
1987-02-04,0,67,38
1987-02-05,0,74,37
1987-02-06,0,81,39
1987-02-07,0,81,42
1987-02-08,0,76,47
1987-02-09,0.2,64,54
1987-02-10,0.12,60,55
1987-02-11,0.13,66,55
1987-02-12,1.05,59,53
1987-02-13,2.79,63,55
1987-02-14,0,58,42
1987-02-15,0.22,58,47
1987-02-16,0,64,37
1987-02-17,0,66,37
1987-02-18,0,66,41
1987-02-19,0,68,46
1987-02-20,0,70,43
1987-02-21,0.07,52,37
1987-02-22,0,66,35
1987-02-23,0,54,38
1987-02-24,0.02,58,32
1987-02-25,0,58,31
1987-02-26,0,62,33
1987-02-27,0,64,33
1987-02-28,0,62,37
1987-03-01,0,55,39
1987-03-02,0,64,43
1987-03-03,0,64,50
1987-03-04,0,61,48
1987-03-05,2.46,60,52
1987-03-06,0.03,63,49
1987-03-07,0,61,47
1987-03-08,0,64,44
1987-03-09,0,66,41
1987-03-10,0.03,61,42
1987-03-11,0.25,65,52
1987-03-12,0.03,60,46
1987-03-13,0.04,67,44
1987-03-14,0.46,54,47
1987-03-15,0.04,63,37
1987-03-16,0,67,39
1987-03-17,0,66,41
1987-03-18,0,63,43
1987-03-19,0,61,37
1987-03-20,0,59,35
1987-03-21,0.77,53,40
1987-03-22,0,61,35
1987-03-23,0.37,61,45
1987-03-24,0,66,39
1987-03-25,0,71,41
1987-03-26,0,71,38
1987-03-27,0,75,41
1987-03-28,0,76,43
1987-03-29,0,75,41
1987-03-30,0,77,43
1987-03-31,0,80,42
1987-04-01,0,72,42
1987-04-02,0.05,63,55
1987-04-03,0,61,45
1987-04-04,0,67,38
1987-04-05,0,68,42
1987-04-06,0,70,43
1987-04-07,0,70,46
1987-04-08,0,72,44
1987-04-09,0,75,45
1987-04-10,0,70,44
1987-04-11,0,69,50
1987-04-12,0,71,40
1987-04-13,0,75,41
1987-04-14,0,77,44
1987-04-15,0,82,44
1987-04-16,0,72,49
1987-04-17,0,71,45
1987-04-18,0,65,45
1987-04-19,0,75,39
1987-04-20,0,75,43
1987-04-21,0,88,47
1987-04-22,0,80,47
1987-04-23,0,67,51
1987-04-24,0,69,45
1987-04-25,0,77,43
1987-04-26,0,65,51
1987-04-27,0,74,47
1987-04-28,0,68,51
1987-04-29,0,62,48
1987-04-30,0.79,64,52
1987-05-01,0,69,47
1987-05-02,0,72,48
1987-05-03,0,74,46
1987-05-04,0,81,48
1987-05-05,0,92,52
1987-05-06,0,85,51
1987-05-07,0,74,53
1987-05-08,0,65,53
1987-05-09,0,77,54
1987-05-10,0,73,54
1987-05-11,0,70,53
1987-05-12,0,68,54
1987-05-13,0,82,51
1987-05-14,0,74,52
1987-05-15,0,67,56
1987-05-16,0,69,53
1987-05-17,0,66,53
1987-05-18,0,62,52
1987-05-19,0,66,53
1987-05-20,0,67,51
1987-05-21,0,65,53
1987-05-22,0,71,45
